id,name,host_id,host_name,neighbourhood,latitude,longtitude,room_type,price,reviews_per_month,license
2836478,"Water Views Downtown, Vancouver, BC",5517192,Fahrah,Downtown,49.27293,-123.12547,Entire home/apt,132,1.22,no license number
2847310,Unique Loft in the Heart of Gastown,6576530,Jozi,Downtown Eastside,49.28247,-123.10342,Entire home/apt,231,0.04,22-156109
2876573,Breathtaking Mountain & Water Views,52926,Shohreh,Downtown,49.28945,-123.12665,Entire home/apt,164,0.05,no license number
2944104,Luxury Modern Apartment at Yaletown,7338933,Sadiq,Downtown,49.27795,-123.11734,Entire home/apt,90,0.02,no license number
2958786,Funky Downtown Room in the West End,2796877,Sarah,West End,49.29314,-123.13535,Private room,120,0.88,22-210950
2966088,Beautiful 3 BR Fully Furnished Home,64891,David,Kensington-Cedar Cottage,49.247898,-123.082802,Entire home/apt,209,0.75,no license number
2985232,Luxury Point Grey Home,15222656,Miriam,West Point Grey,49.26338,-123.18966,Entire home/apt,225,1,22-156093
2988185,105 GOOD VALUE 2 BEDROOM in Quiet Westend,600607,Martello,West End,49.28884,-123.13288,Entire home/apt,108,,no license number
2988465,116 1 Bedrm + Office,600607,Martello,West End,49.28748,-123.1289,Entire home/apt,87,0.05,no license number
2997664,117 DOWNTOWN LIVING / 1 Bdrm W Georgia St,600607,Martello,Downtown,49.28814,-123.12629,Entire home/apt,93,0.08,no license number
3018758,Cozy family home. Kids welcome!,15382258,Jamala,Hastings-Sunrise,49.28006,-123.05409,Entire home/apt,225,0.98,22-200876
3040736,130 1 Bedroom Bright Corner Suite,600607,Martello,Downtown,49.2796,-123.12152,Entire home/apt,83,0.16,no license number
3051470,Crosstown Master Bedroom Downtown Vancouver,15535422,Anthony,Downtown,49.27959,-123.10851,Private room,108,0.04,22-157338
3068198,Beautiful Apartment in Vancouver's Kitsilano,6810893,Jeremy,Kitsilano,49.26682,-123.15312,Entire home/apt,119,1.11,18-586044
3093219,Minutes to Jericho Beach & Downtown Vancouver,15731413,Heather,Kitsilano,49.2669,-123.18107,Entire home/apt,425,0.22,20-162050
3102120,D2 - Upscale Stylish 1 BR,30899,Rami,Downtown,49.28363,-123.11777,Entire home/apt,99,0.94,no license number
3124378,140 1 Bedroom with 180 degree view,600607,Martello,Downtown,49.27511,-123.12679,Entire home/apt,80,3.99,no license number
3130486,Beautiful Mount Pleasant Loft,15897416,Matthew,Mount Pleasant,49.26731,-123.09774,Entire home/apt,285,1.97,22-156451
3138351,Deluxe Minimalist Double Bedroom,4261957,Donna,Renfrew-Collingwood,49.24187,-123.03668,Private room,50,0.12,22-119375
3158555,1BD Garden Suite in East Village,16027783,Andrea,Hastings-Sunrise,49.2785,-123.05217,Entire home/apt,80,0.78,22156805
3158923,Family Friendly Accessible East Van Home,16029441,Annelie,Grandview-Woodland,49.26802,-123.07374,Entire home/apt,146,6.23,20-203277
3183304,Stylish Minimalist Double Bedroom,4261957,Donna,Renfrew-Collingwood,49.24348,-123.03844,Private room,40,0.23,22-119375
3230030,147 VIEW 1 Bedroom in Coal Harbour,600607,Martello,Downtown,49.28875,-123.12417,Entire home/apt,90,2.85,no license number
3230315,161 1 Bedroom COAL HARBOUR SEAWALL,600607,Martello,Downtown,49.28886,-123.12616,Entire home/apt,96,1.15,no license number
3241017,Modern Downtown Park View Condo!,834713,Cory,Downtown,49.2782,-123.10575,Entire home/apt,108,1.67,23-156620
